,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
232,DE000MA5M843,"Mini-Future | Long | CAC 40 ® | 5.760,00 | 5.674,8768",Mini-Future,CAC 40 ®,02.03.2021,"1,460 EUR","1,450 EUR"
233,DE000MA5MH85,"Optionsschein | Call | BASF | 89,00 | 17.12.21",Optionsschein,BASF,02.03.2021,"0,122 EUR","0,102 EUR"
234,DE000MA5MH69,"Optionsschein | Call | BASF | 89,00 | 17.09.21",Optionsschein,BASF,02.03.2021,"0,073 EUR","0,053 EUR"
235,DE000MA5MT57,"Optionsschein | Call | BMW | 108,00 | 16.12.22",Optionsschein,BMW,02.03.2021,"0,213 EUR","0,152 EUR"
236,DE000MA5MA41,"Turbo Open End | Short | AUD/USD | 0,785",Turbo Open End,AUD/USD,02.03.2021,"0,450 EUR","0,130 EUR"
237,DE000MA5MGU2,"Optionsschein | Call | Beiersdorf | 84,00 | 18.06.21",Optionsschein,Beiersdorf,02.03.2021,"0,410 EUR","0,380 EUR"
238,DE000MA5M7R9,"Turbo Open End | Short | CAC 40 ® | 7.100,00",Turbo Open End,CAC 40 ®,02.03.2021,"12,870 EUR","12,860 EUR"
239,DE000MA5MHS4,"Optionsschein | Call | BMW | 93,00 | 17.06.22",Optionsschein,BMW,02.03.2021,"0,240 EUR","0,216 EUR"
240,DE000MA5M8B1,"Turbo | Long | CAC 40 ® | 5.720,00 | 18.06.21",Turbo,CAC 40 ®,02.03.2021,"0,990 EUR","0,980 EUR"
241,DE000MA5MS33,"Optionsschein | Call | BNP Paribas | 50,00 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,520 EUR"
242,DE000MA5MM62,"Optionsschein | Call | ASML | 550,00 | 18.06.21",Optionsschein,ASML,02.03.2021,"1,160 EUR","1,080 EUR"
243,DE000MA5MDL8,"Mini-Future | Long | Boralex | 42,00 | 40,00",Mini-Future,Boralex,02.03.2021,"2,240 EUR","2,100 EUR"
244,DE000MA5MLQ0,"Optionsschein | Call | ASML | 430,00 | 17.06.22",Optionsschein,ASML,02.03.2021,"8,860 EUR","8,780 EUR"
245,DE000MA5MS25,"Optionsschein | Call | BNP Paribas | 47,50 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,650 EUR"
246,DE000MA5M8G0,"Turbo | Long | CAC 40 ® | 5.750,00 | 19.03.21",Turbo,CAC 40 ®,02.03.2021,"0,910 EUR","0,900 EUR"
247,DE000MA5MH93,"Optionsschein | Call | BASF | 89,00 | 17.06.22",Optionsschein,BASF,02.03.2021,"0,194 EUR","0,174 EUR"
248,DE000MA5M8F2,"Turbo | Long | CAC 40 ® | 5.740,00 | 18.06.21",Turbo,CAC 40 ®,02.03.2021,"0,840 EUR","0,830 EUR"
249,DE000MA5MS66,"Optionsschein | Call | BNP Paribas | 57,50 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,240 EUR"
250,DE000MA5M8H8,"Turbo | Long | CAC 40 ® | 5.750,00 | 30.04.21",Turbo,CAC 40 ®,02.03.2021,"0,860 EUR","0,850 EUR"
251,DE000MA5MJ59,"Optionsschein | Call | BMW | 106,00 | 18.03.22",Optionsschein,BMW,02.03.2021,"0,100 EUR","0,076 EUR"
252,DE000MA5MGE6,"Optionsschein | Call | Beiersdorf | 80,00 | 17.12.21",Optionsschein,Beiersdorf,02.03.2021,"0,890 EUR","0,860 EUR"
253,DE000MA5MA74,"Turbo Open End | Long | Barrick Gold | 16,00",Turbo Open End,Barrick Gold,02.03.2021,"3,260 EUR","3,240 EUR"
254,DE000MA5M8V9,"Turbo Open End | Long | CAC 40 ® | 5.725,00",Turbo Open End,CAC 40 ®,02.03.2021,"1,110 EUR","1,100 EUR"
