Produkttyp,Valor,SIX Symbol,ISIN,Basiswert,Name,Fälligkeitsdatum,Währung,Geld,Brief
Mini-Future,57916433,,CH0579164333,Alibaba,Short Mini-Future,Open End,CHF,0.765999973,0.776000023
Mini-Future,57916432,,CH0579164325,Alibaba,Short Mini-Future,Open End,CHF,0.721000016,0.731000006
Mini-Future,57916431,,CH0579164317,Alibaba,Short Mini-Future,Open End,CHF,0.675999999,0.68599999
Warrant mit Knock-Out,57916340,SXMEAU,CH0579163400,Euro STOXX 50 Price Index,Open End Turbo Call Warrant,Open End,CHF,3.85,3.86
Warrant mit Knock-Out,57916339,DAVXBU,CH0579163392,DAX,Open End Turbo Call Warrant,Open End,CHF,4.52,4.53
Warrant mit Knock-Out,57916338,DATXBU,CH0579163384,DAX,Open End Turbo Call Warrant,Open End,CHF,4.75,4.76
Warrant mit Knock-Out,57916337,DASXBU,CH0579163376,DAX,Open End Turbo Call Warrant,Open End,CHF,4.97,4.98
Warrant mit Knock-Out,57916336,DARXBU,CH0579163368,DAX,Open End Turbo Call Warrant,Open End,CHF,5.19,5.2
Warrant mit Knock-Out,57916335,DAQXBU,CH0579163350,DAX,Open End Turbo Call Warrant,Open End,CHF,5.41,5.42
Warrant mit Knock-Out,57916299,DAJXBU,CH0579162998,DAX,Turbo Call Warrant,19.03.21,CHF,4.6,4.61
Constant Leverage,57916269,S5DBAU,CH0579162691,Deutsche Bank,5x Short Faktor Zertifikat,Open End,CHF,0.95,0.97
Constant Leverage,57916268,L8AMZU,CH0579162683,Amazon.com,8x Long Faktor Zertifikat,Open End,CHF,2.44,2.47
Mini-Future,57915872,,CH0579158723,DAX,Long Mini-Future,Open End,CHF,26.56100082,26.56999969
Mini-Future,57915871,,CH0579158715,DAX,Long Mini-Future,Open End,CHF,26.45000076,26.45899963
Mini-Future,57915870,,CH0579158707,DAX,Long Mini-Future,Open End,CHF,26.33799934,26.34700012
Mini-Future,57915869,,CH0579158699,DAX,Long Mini-Future,Open End,CHF,26.20999908,26.21899986
Mini-Future,57915868,,CH0579158681,DAX,Long Mini-Future,Open End,CHF,26.11499977,26.12400055
Mini-Future,57915867,,CH0579158673,DAX,Long Mini-Future,Open End,CHF,26.00900078,26.01799965
Mini-Future,57915866,,CH0579158665,DAX,Long Mini-Future,Open End,CHF,25.875,25.88400078
Mini-Future,57915865,,CH0579158657,DAX,Long Mini-Future,Open End,CHF,25.78000069,25.78899956
Mini-Future,57915864,,CH0579158640,DAX,Long Mini-Future,Open End,CHF,25.65200043,25.6609993
Mini-Future,57915863,,CH0579158632,DAX,Long Mini-Future,Open End,CHF,25.56299973,25.5720005
Mini-Future,57915862,,CH0579158624,DAX,Long Mini-Future,Open End,CHF,25.44599915,25.45499992
Mini-Future,57915861,,CH0579158616,DAX,Long Mini-Future,Open End,CHF,25.34000015,25.34900093
Mini-Future,57915860,,CH0579158608,DAX,Long Mini-Future,Open End,CHF,25.22299957,25.23200035
Mini-Future,57915859,,CH0579158590,DAX,Long Mini-Future,Open End,CHF,25.11100006,25.12000084
Mini-Future,57915858,,CH0579158582,DAX,Long Mini-Future,Open End,CHF,25.00499916,25.01399994
Mini-Future,57915857,,CH0579158574,DAX,Long Mini-Future,Open End,CHF,24.87199974,24.88100052
Mini-Future,57915856,,CH0579158566,DAX,Long Mini-Future,Open End,CHF,24.77700043,24.7859993
Mini-Future,57915855,,CH0579158558,DAX,Long Mini-Future,Open End,CHF,24.66500092,24.67399979
Mini-Future,57915854,,CH0579158541,DAX,Long Mini-Future,Open End,CHF,24.55400085,24.56299973
Mini-Future,57915853,,CH0579158533,DAX,Long Mini-Future,Open End,CHF,24.4260006,24.43499947
Mini-Future,57915852,,CH0579158525,DAX,Long Mini-Future,Open End,CHF,24.31399918,24.32299995
Mini-Future,57915851,,CH0579158517,DAX,Long Mini-Future,Open End,CHF,24.22500038,24.23399925
Mini-Future,57915850,,CH0579158509,DAX,Long Mini-Future,Open End,CHF,24.1079998,24.11700058
Mini-Future,57915849,,CH0579158491,DAX,Long Mini-Future,Open End,CHF,23.99600029,24.00499916
Mini-Future,57915848,,CH0579158483,DAX,Long Mini-Future,Open End,CHF,23.90099907,23.90999985
Mini-Future,57915847,,CH0579158475,DAX,Long Mini-Future,Open End,CHF,23.77899933,23.78800011
Mini-Future,57915846,,CH0579158467,DAX,Long Mini-Future,Open End,CHF,23.66200066,23.67099953
Mini-Future,57915845,,CH0579158459,DAX,Long Mini-Future,Open End,CHF,23.55599976,23.56500053
Mini-Future,57915844,,CH0579158442,DAX,Long Mini-Future,Open End,CHF,23.44400024,23.45299911
Mini-Future,57915843,,CH0579158434,DAX,Long Mini-Future,Open End,CHF,23.32699966,23.33600044
Mini-Future,57915842,,CH0579158426,DAX,Long Mini-Future,Open End,CHF,23.22100067,23.22999954
Mini-Future,57915841,,CH0579158418,DAX,Long Mini-Future,Open End,CHF,23.10400009,23.11300087
Mini-Future,57915840,,CH0579158400,DAX,Long Mini-Future,Open End,CHF,22.97599983,22.98500061
Mini-Future,57915839,,CH0579158392,DAX,Long Mini-Future,Open End,CHF,22.88100052,22.88999939
