"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Warrant mit Knock-Out","57215724","","CH0572157243","U-Blox AG","Open End Turbo Call Warrant","Open End","CHF","0.5970000028610229","0"
"Warrant mit Knock-Out","57215723","","CH0572157235","U-Blox AG","Open End Turbo Call Warrant","Open End","CHF","0.640999972820282","0"
"Warrant mit Knock-Out","57215722","","CH0572157227","UBS Group AG","Open End Turbo Call Warrant","Open End","CHF","1.504999995231628","0"
"Warrant mit Knock-Out","57215720","","CH0572157201","Temenos","Open End Turbo Call Warrant","Open End","CHF","1.858000040054321","0"
"Warrant mit Knock-Out","57215719","","CH0572157193","Swiss Re","Open End Turbo Call Warrant","Open End","CHF","2.730000019073486","0"
"Warrant mit Knock-Out","57215718","","CH0572157185","Swiss Re","Open End Turbo Call Warrant","Open End","CHF","3.36899995803833","0"
"Warrant mit Knock-Out","57215717","","CH0572157177","Swiss Re","Open End Turbo Call Warrant","Open End","CHF","3.795000076293945","0"
"Warrant mit Knock-Out","57215716","","CH0572157169","Swiss Re","Open End Turbo Call Warrant","Open End","CHF","4.007999897003174","0"
"Warrant mit Knock-Out","57215715","","CH0572157151","Swiss Life","Open End Turbo Call Warrant","Open End","CHF","3.532000064849854","0"
"Warrant mit Knock-Out","57215714","","CH0572157144","Swiss Life","Open End Turbo Call Warrant","Open End","CHF","4.157000064849854","0"
"Warrant mit Knock-Out","57215713","","CH0572157136","Swiss Life","Open End Turbo Call Warrant","Open End","CHF","4.364999771118164","0"
"Warrant mit Knock-Out","57215712","","CH0572157128","Swiss Life","Open End Turbo Call Warrant","Open End","CHF","4.572999954223633","0"
"Warrant mit Knock-Out","57215711","","CH0572157110","Sika AG","Open End Turbo Call Warrant","Open End","CHF","0.828000009059906","0"
"Warrant mit Knock-Out","57215709","","CH0572157094","Novartis","Open End Turbo Call Warrant","Open End","CHF","1.445000052452087","0"
"Warrant mit Knock-Out","57215708","","CH0572157086","Novartis","Open End Turbo Call Warrant","Open End","CHF","1.595000028610229","0"
"Warrant mit Knock-Out","57215707","","CH0572157078","Novartis","Open End Turbo Call Warrant","Open End","CHF","1.746999979019165","0"
"Warrant mit Knock-Out","57215706","","CH0572157060","Meyer Burger Technology AG","Open End Turbo Call Warrant","Open End","CHF","0.48",""
"Warrant mit Knock-Out","57215705","","CH0572157052","LafargeHolcim","Open End Turbo Call Warrant","Open End","CHF","1.483999967575073","0"
"Warrant mit Knock-Out","57215704","","CH0572157045","LafargeHolcim","Open End Turbo Call Warrant","Open End","CHF","2.267999887466431","0"
"Warrant mit Knock-Out","57215702","","CH0572157029","GAM Holding","Open End Turbo Call Warrant","Open End","CHF","0.5690000057220459","0"
"Warrant mit Knock-Out","57215701","","CH0572157011","GAM Holding","Open End Turbo Call Warrant","Open End","CHF","0.6290000081062317","0"
"Warrant mit Knock-Out","57215693","","CH0572156930","Aryzta","Open End Turbo Call Warrant","Open End","CHF","0.3729999959468842","0.4070000052452087"
"Mini-Future","57215689","","CH0572156898","SMI PR Index","Long Mini-Future","Open End","CHF","27.07099914550781","0"
"Mini-Future","57215639","FSMQBU","CH0572156393","SMI PR Index","Long Mini-Future","Open End","CHF","4.949999809265137","0"
"Mini-Future","57215635","FZURAU","CH0572156351","Zurich Insurance","Long Mini-Future","Open End","CHF","1.860000014305115","0"
"Mini-Future","57215633","FVATCU","CH0572156336","VAT Group AG","Long Mini-Future","Open End","CHF","1.95",""
"Mini-Future","57215630","FUBXDU","CH0572156302","U-Blox AG","Long Mini-Future","Open End","CHF","0.63",""
"Mini-Future","57215626","FSTMFU","CH0572156260","Straumann","Long Mini-Future","Open End","CHF","1.610000014305115","0"
"Mini-Future","57215625","FSRENU","CH0572156252","Swiss Re","Long Mini-Future","Open End","CHF","2.829999923706055","0"
"Warrant mit Knock-Out","57215606","OZURBU","CH0572156062","Zurich Insurance","Open End Turbo Call Warrant","Open End","CHF","1.72",""
"Warrant mit Knock-Out","57215603","OUBPIU","CH0572156039","U-Blox AG","Open End Turbo Call Warrant","Open End","CHF","0.62",""
"Warrant mit Knock-Out","57215600","OSREMU","CH0572156005","Swiss Re","Open End Turbo Call Warrant","Open End","CHF","2.690000057220459","0"
"Warrant mit Knock-Out","57215599","OSLPKU","CH0572155999","Swiss Life","Open End Turbo Call Warrant","Open End","CHF","4.289999961853027","0"
"Warrant mit Knock-Out","57215597","ONOPLU","CH0572155973","Novartis","Open End Turbo Call Warrant","Open End","CHF","1.75","0"
"Warrant mit Knock-Out","57215592","OGPMEU","CH0572155924","GAM Holding","Open End Turbo Call Warrant","Open End","CHF","0.6",""
"Warrant mit Knock-Out","57215589","OBIOGU","CH0572155890","BB Biotech","Open End Turbo Call Warrant","Open End","CHF","1.519999980926514","0"
"Warrant mit Knock-Out","57215588","OBPLAU","CH0572155882","Baloise","Open End Turbo Call Warrant","Open End","CHF","1.710000038146973","0"
"Warrant mit Knock-Out","57215581","TSMAUU","CH0572155817","SMI PR Index","Turbo Call Warrant","2021-03-19","CHF","5.570000171661377","0"
"Warrant mit Knock-Out","57215580","TSMATU","CH0572155809","SMI PR Index","Turbo Call Warrant","2021-03-19","CHF","5.96999979019165","0"
"Constant Leverage","57215578","L5NVAU","CH0572155783","Novartis","5x Long Faktor Zertifikat","Open End","CHF","8.159999847412109","8.210000038146973"
"Warrant","57215573","","CH0572155734","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","0.5429999828338623","0.5889999866485596"
"Warrant","57215572","","CH0572155726","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","1.003000020980835","1.049000024795532"
"Warrant","57215571","","CH0572155718","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","1.340999960899353","1.38699996471405"
"Warrant","57215570","","CH0572155700","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","1.748000025749207","1.794000029563904"
"Warrant","57215569","","CH0572155692","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","2.213000059127808","2.263000011444092"
"Warrant","57215567","","CH0572155676","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","1.419000029563904","1.465000033378601"
"Warrant","57215566","","CH0572155668","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","1.60699999332428","1.652999997138977"
"Warrant","57215565","","CH0572155650","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","1.805999994277954","1.855999946594238"
"Warrant","57215564","","CH0572155643","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","2.01200008392334","2.062000036239624"
"Warrant","57215563","","CH0572155635","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","2.230000019073486","2.279999971389771"
"Warrant","57215562","","CH0572155627","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","0.9729999899864197","1.023000001907349"
"Warrant","57215561","","CH0572155619","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.197000026702881","1.246999979019165"
"Warrant","57215559","","CH0572155593","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.672999978065491","1.723000049591064"
