"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DV05WD;""Vossloh AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:17:03"";""DZ BANK"";""99","089996 %"";""99","190002 %"""
"DV05VH;""Süss Microtec AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:16:59"";""DZ BANK"";""106","019997 %"";""106","120003 %"""
"DV05VV;""Telefónica S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:39"";""DZ BANK"";""96","160004 %"";""96","360001 %"""
"DV05UV;""S+T AG (Z.REG.MK.Z.)O.N."";""Aktienanleihe Classic"";""18.03.2022"";""15:10:26"";""DZ BANK"";""105","480003 %"";""105","580002 %"""
"DV05SM;""GRAND CITY PROPERTIES S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:24:35"";""DZ BANK"";""102","540001 %"";""102","639999 %"""
"DV05RN;""Deutz AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:01"";""DZ BANK"";""104","769997 %"";""104","870003 %"""
"DV05Q2;""Bertrandt AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:05:50"";""DZ BANK"";""102","540001 %"";""102","739998 %"""
"DV05RM;""Deutz AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:15:01"";""DZ BANK"";""103","75 %"";""103","849998 %"""
"DV05VT;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:19:47"";""DZ BANK"";""102","199997 %"";""102","300003 %"""
"DV05UE;""q.beyond AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:01:48"";""DZ BANK"";""105","449997 %"";""105","75 %"""
"DV05RU;""Électricité de France S.A. (EdF)"";""Aktienanleihe Classic"";""18.03.2022"";""15:12:33"";""DZ BANK"";""97","639999 %"";""97","739998 %"""
"DV05RZ;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:08:25"";""DZ BANK"";""98","589996 %"";""98","690002 %"""
"DV05VA;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:42"";""DZ BANK"";""105","440002 %"";""105","540001 %"""
"DV05SL;""GFT TECHNOLOGIES"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:54"";""DZ BANK"";""104","18 %"";""104","279999 %"""
"DV05RE;""Carrefour S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:19:59"";""DZ BANK"";""98","540001 %"";""98","559998 %"""
"DV05T5;""Pfeiffer Vacuum Technology AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:03:06"";""DZ BANK"";""103","480003 %"";""103","720001 %"""
"DV05U3;""SGL Carbon SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:10"";""DZ BANK"";""101","93 %"";""102","029999 %"""
