"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV07YZ;""New Work SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV076P;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:27:32"";""DZ BANK"";""3","42 EUR"";""3","43 EUR""",
"DV07Z2;""Siemens Energy AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0701;""Volkswagen AG Vz."";""Endlos Turbo Long"";""Endlos"";""14:27:28"";""DZ BANK"";""0","69 EUR"";""0","70 EUR""",
"DV070D;""Stratec SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07SG;""Facebook Inc."";""Endlos Turbo Long"";""Endlos"";""14:33:15"";""DZ BANK"";""0","73 EUR"";""0","75 EUR""",
"DV07ZJ;""Salzgitter AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07TR;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""14:33:31"";""DZ BANK"";""0","24 EUR"";""0","30 EUR""",
"DV07VS;""Deutsche Boerse AG"";""Endlos Turbo Long"";""Endlos"";""14:28:34"";""DZ BANK"";""0","12 EUR"";""0","13 EUR""",
"DV070W;""VERBIO"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07U9;""Carl Zeiss Meditec AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0708;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""14:30:09"";""DZ BANK"";""0","34 EUR"";""0","35 EUR""",
"DV07TX;""adidas AG"";""Endlos Turbo Long"";""Endlos"";""14:34:50"";""DZ BANK"";""0","54 EUR"";""0","56 EUR""",
"DV07XN;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""14:34:32"";""DZ BANK"";""0","19 EUR"";""0","20 EUR""",
"DV07S9;""Procter & Gamble Corp."";""Endlos Turbo Long"";""Endlos"";""13:50:03"";""DZ BANK"";""5","22 EUR"";""5","24 EUR""",
"DV07U7;""Borussia Dortmund GmbH & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07WK;""E.ON SE"";""Endlos Turbo Long"";""Endlos"";""14:28:50"";""DZ BANK"";""1","14 EUR"";""1","15 EUR""",
"DV07VR;""Deutsche Boerse AG"";""Endlos Turbo Long"";""Endlos"";""14:19:11"";""DZ BANK"";""0","20 EUR"";""0","21 EUR""",
"DV07ZX;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""14:16:53"";""DZ BANK"";""0","27 EUR"";""0","28 EUR""",
"DV07SA;""Biogen Idec Inc."";""Endlos Turbo Long"";""Endlos"";""14:24:57"";""DZ BANK"";""0","13 EUR"";""0","65 EUR""",
"DV07SW;""Microsoft Corporation"";""Endlos Turbo Long"";""Endlos"";""14:31:54"";""DZ BANK"";""0","23 EUR"";""0","55 EUR""",
"DV076U;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:33:02"";""DZ BANK"";""2","88 EUR"";""2","89 EUR""",
"DV07YR;""Merck KGaA"";""Endlos Turbo Long"";""Endlos"";""14:12:55"";""DZ BANK"";""0","13 EUR"";""0","15 EUR""",
"DV07ZP;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""14:33:29"";""DZ BANK"";""0","18 EUR"";""0","20 EUR""",
"DV07U6;""BMW VZ"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV076W;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:33:02"";""DZ BANK"";""2","69 EUR"";""2","70 EUR""",
"DV07ZZ;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""14:36:34"";""DZ BANK"";""0","14 EUR"";""0","15 EUR""",
"DV07YK;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""14:19:04"";""DZ BANK"";""0","13 EUR"";""0","14 EUR""",
"DV07WU;""Fresenius Medical Care AG & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:22:52"";""DZ BANK"";""0","18 EUR"";""0","19 EUR""",
"DV07S8;""Pfizer Inc."";""Endlos Turbo Long"";""Endlos"";""14:25:27"";""DZ BANK"";""0","86 EUR"";""0","88 EUR""",
"DV0764;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:28:14"";""DZ BANK"";""2","01 EUR"";""2","02 EUR""",
"DV07SF;""Facebook Inc."";""Endlos Turbo Long"";""Endlos"";""14:28:10"";""DZ BANK"";""0","85 EUR"";""0","87 EUR""",
"DV07RZ;""Amazon.com Inc."";""Endlos Turbo Long"";""Endlos"";""14:24:06"";""DZ BANK"";""0","30 EUR"";""0","85 EUR""",
"DV07TD;""Square Inc."";""Endlos Turbo Long"";""Endlos"";""14:29:26"";""DZ BANK"";""2","52 EUR"";""2","64 EUR""",
"DV07TU;""The Walt Disney Co."";""Endlos Turbo Long"";""Endlos"";""14:34:04"";""DZ BANK"";""0","73 EUR"";""0","75 EUR""",
"DV07ZL;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""14:31:38"";""DZ BANK"";""0","36 EUR"";""0","38 EUR""",
"DV076L;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:33:51"";""DZ BANK"";""3","65 EUR"";""3","66 EUR""",
"DV07TT;""VISA Inc."";""Endlos Turbo Long"";""Endlos"";""14:25:50"";""DZ BANK"";""0","57 EUR"";""0","59 EUR""",
