Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UYT7;Iberdrola;24.03.2023 00:00:00;99,02;99,12;3,45 %;14,98 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYP5;Henkel;24.03.2023 00:00:00;98,64;98,74;2,43 %;14,19 %;1,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYK6;Fresenius M.C.;24.03.2023 00:00:00;98,46;98,56;3,74 %;15,62 %;3,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UYJ8;Fresenius M.C.;24.03.2023 00:00:00;98,71;98,81;2,60 %;22,59 %;2,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UYH2;Fresenius;24.03.2023 00:00:00;98,95;99,05;5,80 %;4,63 %;5,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UYE9;Fresenius;24.03.2023 00:00:00;99,41;99,51;2,40 %;23,81 %;2,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UYB5;E.ON;24.03.2023 00:00:00;98,93;99,03;2,39 %;23,08 %;1,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYC3;E.ON;24.03.2023 00:00:00;98,44;98,54;4,20 %;13,02 %;3,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY95;Deutsche Wohnen;24.03.2023 00:00:00;98,68;98,88;2,66 %;17,84 %;2,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY87;Deutsche Telekom;24.03.2023 00:00:00;100,64;100,74;3,62 %;11,18 %;4,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UY38;Deutsche Post;24.03.2023 00:00:00;98,39;98,49;3,87 %;16,22 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY79;Deutsche Telekom;24.03.2023 00:00:00;100,51;100,61;2,59 %;16,83 %;2,90 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UY12;Deutsche Börse;24.03.2023 00:00:00;99,50;99,60;4,10 %;11,67 %;3,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY20;Deutsche Post;24.03.2023 00:00:00;98,61;98,71;2,75 %;23,28 %;2,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY04;Deutsche Börse;24.03.2023 00:00:00;99,54;99,64;2,98 %;19,03 %;2,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXV5;Daimler;24.03.2023 00:00:00;98,73;98,83;6,27 %;9,43 %;5,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXU7;Daimler;24.03.2023 00:00:00;98,80;98,90;5,02 %;16,98 %;4,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXN2;Continental;24.03.2023 00:00:00;100,41;100,61;5,67 %;11,69 %;6,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXM4;Continental;24.03.2023 00:00:00;100,19;100,39;4,34 %;20,10 %;4,55 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXL6;Continental;24.03.2023 00:00:00;100,11;100,31;3,14 %;28,51 %;3,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXF8;BMW;24.03.2023 00:00:00;99,56;99,66;2,92 %;23,08 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXE1;Beiersdorf;24.03.2023 00:00:00;98,05;98,15;3,44 %;8,42 %;2,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXD3;Bayer;24.03.2023 00:00:00;96,97;97,07;8,24 %;1,84 %;6,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXB7;Bayer;24.03.2023 00:00:00;97,70;97,80;4,79 %;18,99 %;3,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UX70;BASF;24.03.2023 00:00:00;99,63;99,73;3,59 %;18,80 %;3,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UX54;Banco Santander;24.03.2023 00:00:00;99,20;99,30;4,61 %;25,53 %;4,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UX62;BASF;24.03.2023 00:00:00;99,67;99,77;2,47 %;26,18 %;2,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UX47;AXA;24.03.2023 00:00:00;100,38;100,48;5,29 %;13,57 %;5,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWY1;Allianz;24.03.2023 00:00:00;99,78;99,88;3,16 %;19,92 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWX3;Allianz;24.03.2023 00:00:00;99,71;99,81;2,14 %;27,43 %;2,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UWW5;Airbus;24.03.2023 00:00:00;100,55;100,65;3,66 %;27,79 %;4,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2VAF4;Total;28.04.2023 00:00:00;100,92;101,02;5,72 %;16,68 %;6,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VAC1;Linde;28.04.2023 00:00:00;99,80;99,90;2,89 %;16,75 %;2,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VAB3;Linde;28.04.2023 00:00:00;99,91;100,01;1,84 %;24,09 %;1,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA76;Vonovia;24.03.2023 00:00:00;99,25;99,45;2,48 %;20,36 %;2,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA01;Telefonica;24.03.2023 00:00:00;96,47;96,67;7,39 %;16,24 %;5,60 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZY4;Siemens;24.03.2023 00:00:00;98,32;98,42;6,23 %;2,33 %;5,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZT4;SAP;24.03.2023 00:00:00;98,00;98,10;4,89 %;8,88 %;3,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZU2;SAP;24.03.2023 00:00:00;97,90;98,00;6,26 %;2,02 %;5,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZR8;SAP;24.03.2023 00:00:00;98,54;98,64;2,69 %;21,61 %;2,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZL1;Royal Dutch Shell;24.03.2023 00:00:00;101,41;101,51;4,56 %;20,21 %;5,35 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZJ5;Porsche;24.03.2023 00:00:00;99,88;100,08;4,41 %;17,14 %;4,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UZD8;MünchenerRück;24.03.2023 00:00:00;101,10;101,20;5,46 %;7,41 %;6,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZB2;MünchenerRück;24.03.2023 00:00:00;100,71;100,81;2,69 %;23,87 %;3,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZA4;MünchenerRück;24.03.2023 00:00:00;100,65;100,75;1,63 %;32,10 %;2,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ45;Merck;24.03.2023 00:00:00;98,75;98,85;2,58 %;18,25 %;2,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ29;LVMH;24.03.2023 00:00:00;99,03;99,13;2,84 %;19,98 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYW1;Infineon;24.03.2023 00:00:00;100,05;100,15;5,57 %;15,00 %;5,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYX9;Infineon;24.03.2023 00:00:00;100,02;100,12;7,18 %;6,11 %;7,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYF6;Fresenius;24.03.2023 00:00:00;99,25;99,35;3,38 %;17,61 %;3,05 %;EUR;;;Basic (nicht nachhaltig)
